,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=High,Education=1,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=2,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Medium
1,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Medium,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Laboratory Technician,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=High,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=High,PerformanceRating=4.0,RelationshipSatisfaction=2.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
2,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Sales,DistanceFromHome=Medium,Education=2,EducationField=Medical,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Medium,JobInvolvement=2,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=6,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
3,Age=Senior,Attrition=No,BusinessTravel=Non-Travel,DailyRate=Low,Department=Research & Development,DistanceFromHome=Medium,Education=1,EducationField=Medical,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Low,JobInvolvement=2,JobLevel=4.0,JobRole=Healthcare Representative,JobSatisfaction=2,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=Low
4,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=High,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=High,JobInvolvement=2,JobLevel=3.0,JobRole=Healthcare Representative,JobSatisfaction=2,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=High,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=1,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Medium
5,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=High,Education=4,EducationField=Marketing,EnvironmentSatisfaction=1,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=4.0,JobRole=Manager,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=2,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Medium,YearsWithCurrManager=nan
6,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Low,JobInvolvement=2,JobLevel=2.0,JobRole=Manufacturing Director,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=High,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=4,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
7,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=High,Education=1,EducationField=Life Sciences,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Laboratory Technician,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
8,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Medium,Education=2,EducationField=Other,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Low,JobInvolvement=2,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
10,Age=Adults,Attrition=No,BusinessTravel=Travel_Frequently,DailyRate=High,Department=Sales,DistanceFromHome=Medium,Education=4,EducationField=Marketing,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=4,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
11,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=Low,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=High,JobInvolvement=3,JobLevel=5.0,JobRole=Manager,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
12,Age=Adults,Attrition=No,BusinessTravel=Non-Travel,DailyRate=High,Department=Sales,DistanceFromHome=High,Education=2,EducationField=Marketing,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Low,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=2,WorkLifeBalance=2,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
13,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=Medium,Education=4,EducationField=Marketing,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=Low,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=3,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
14,Age=Senior,Attrition=No,BusinessTravel=Travel_Frequently,DailyRate=Medium,Department=Human Resources,DistanceFromHome=Low,Education=5,EducationField=Human Resources,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=Low,JobInvolvement=3,JobLevel=2.0,JobRole=Human Resources,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=High,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=0,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
